id,author_sort,title,isbn,identifiers,series,series_index,uuid
"13","Hughes, Sam","Ra","","mobi-asin:09b6d108-4e1e-4945-bad9-ac85f4e5af51","","1.0","db85d51a-3c98-41eb-9db1-58752f2b29ab"
"14","O'Brian, Patrick","Master and Commander","9780393307054","isbn:9780393307054,goodreads:16175610,amazon:0393307050,barnesnoble:w/master-and-commander-patrick-obrian/1100871637,google:HaEdbjUalUEC,mobi-asin:6353f675-6ee8-4be9-8410-e2c6e9e97d06","Aubrey & Maturin","1.0","8b3b1d12-0071-4924-9165-4b3f24400528"
"15","Gibson, William","Virtual Light","9780141941769","isbn:9780141941769,mobi-asin:e855f6b9-b651-42f7-b66d-5ecfd7f36dd8,google:1vtZDpddyGMC,amazon:0553566067","Bridge Trilogy","1.0","95b652df-d4a8-4efe-8dd2-590564199b81"
"16","O'Brian, Patrick","H.M.S. Surprise","9780393037036","goodreads:1691082,google:wCeA3BUXHqoC,isbn:9780393037036,barnesnoble:w/hms-surprise-patrick-obrian/1100871639,mobi-asin:34841a0e-04c3-4e3f-bd57-6f24e964a240","Aubrey & Maturin","3.0","cecbbd14-d037-48f9-9bef-b22c0d158c01"
"17","Gibson, William","Spook Country","9780399154300","amazon:0425226719,google:Ammm5BYnJfgC,isbn:9780399154300","Blue Ant Trilogy","2.0","4aba1d73-cffb-4221-8e65-ed058c68077c"
"18","Gibson, William","Zero History","9780399156823","amazon:B006TQUXW4,google:NRTijwEACAAJ,isbn:9780399156823","Blue Ant Trilogy","3.0","8c57f790-94e2-4446-83df-80607a7de3b9"
"19","Gibson, William","Neuromancer","9780441007462","amazon:0441569595,google:IDFfMPW32hQC,isbn:9780441007462","Sprawl Trilogy","1.0","e143bb01-9864-4232-9900-700095aa6b6f"
"20","Gibson, William","The Peripheral","0399158448","mobi-asin:B00INIXKV2,goodreads:23477546,amazon:B00L9NE1BG,isbn:0399158448,google:SLaQAwAAQBAJ","The Peripheral","1.0","e7f7782a-ebfe-4317-aea6-0300a0b020f5"
"21","Gibson, William","Mona Lisa Overdrive","9780553281743","google:YcfWZTENA6cC,isbn:9780553281743,amazon:B009QJMUAY","Sprawl Trilogy","3.0","cf8560f4-a31c-4f68-b60e-e78073a9a9dd"
"22","Gibson, William","Johnny Mnemonic","9780441002344","amazon:044100234X,google:CAduQgAACAAJ,isbn:9780441002344","","1.0","61f57614-1c4e-4ff1-bacf-30531aa3a541"
"23","Gibson, William","Idoru","9780425158647","amazon:0425158640,mobi-asin:c2512565-2dc4-4d3f-8aeb-0fec4d711d5b,google:u51mSjuiMeMC,isbn:9780425158647","Bridge Trilogy","2.0","64186b94-91f1-4214-867e-284eb2f9dbcd"
"24","Gibson, William","Count Zero","9780441117734","google:dFX1xN7q-AgC,amazon:B000PDYVZM,isbn:9780441117734","Sprawl Trilogy","2.0","767a7fdf-f3f2-472f-a0af-8366c6eb7328"
"25","Gibson, William","All Tomorrow's Parties","9780425190449","mobi-asin:31a2a2fb-e1cf-4b1a-b132-d590fce5236a,amazon:0425190447,google:ljpe-qkRxcgC,isbn:9780425190449","Bridge Trilogy","3.0","aa23afc2-769a-43b7-91c6-647cbcbd2bc9"
"26","Gibson, William","Burning Chrome","9780060539825","isbn:9780060539825,amazon:B00ICMWZH4,google:np3sIlyiiiUC","","1.0","ad3ea5de-3801-4e81-845d-5d417d52ca66"
"27","Gibson, William","Pattern Recognition","9781402556906","isbn:9781402556906,amazon:0425198685,google:3ahaAAAAMAAJ","Blue Ant Trilogy","1.0","f0f896bb-3de8-4bda-92d1-8402923edafd"
"28","Fleming, Ian","Live and Let Die","9781612185446","barnesnoble:w/live-and-let-die-ian-fleming/1100675045,mobi-asin:52cac5f9-9445-4c78-881a-a6745237f43c,google:gvtOMQEACAAJ,amazon:B008L40PWK,goodreads:15954466,isbn:9781612185446","James Bond (Original Series)","2.0","9da9fcdd-0f42-4428-99bb-998c96a80d65"
"29","Fleming, Ian","Casino Royale","9781612185439","goodreads:15954464,isbn:9781612185439,mobi-asin:f25fb8e0-fb9f-49d3-b1a6-2b3e9cb7bfcc,google:i4ZtMAEACAAJ,amazon:1612185436,barnesnoble:w/casino-royale-ian-fleming/1100675049","James Bond (Original Series)","1.0","81851a57-f40c-487f-9264-a0576a790b50"
"30","Crichton, Michael","The Lost World","9780345538994","google:T9M0F8eiNvMC,amazon:0345538994,mobi-asin:c73d09de-007d-4aff-87ad-1e025f76d338,isbn:9780345538994","Jurassic Park","2.0","6e231fa8-c071-4838-90a6-946b5454fbcd"
"31","Banks, Iain M.","Use of Weapons","9780316030571","amazon:0316030570,mobi-asin:6cb8e261-a9e5-4814-9b06-1d4994a9c239,isbn:9780316030571,google:6n2kIAAACAAJ","Culture","3.0","b2f08a49-8b05-4192-8244-3d959343de47"
"32","Crichton, Michael","Jurassic Park: A Novel","9780307763051","isbn:9780307763051,mobi-asin:e510e070-2206-40e0-9024-5c97eebe0f73,google:V5s14nks9I8C,amazon:B007UH4D3G","Jurassic Park","1.0","a41bd612-6df2-424b-bf44-12b9caa37bdb"
"33","Blaber, Pete","The Mission, the Men, and Me: Lessons From a Former Delta Force Commander","9780425236574","google:1Qgt4oyMwJQC,amazon:0425236579,mobi-asin:901a6662-81f5-4570-87ec-563abec55b6c,isbn:9780425236574","","1.0","11a655bc-1f5b-4e3d-87d5-7115f4bab0f6"
"34","Zuckoff, Mitchell","13 Hours","9781455582273","mobi-asin:2f6be39b-07cf-4210-bd87-fc684c9dd59f,isbn:9781455582273,google:fpXooAEACAAJ,barnesnoble:w/13-hours-mitchell-zuckoff/1119058038,goodreads:22608586","","1.0","646f74eb-95fa-4b6f-9153-470b043376f6"
"35","Allen, Thomas G. & Sachtleben, William L.","Across Asia on a Bicycle","9783861953289","google:rQ6fam5_3nkC,amazon:B004TOTGK8,goodreads:14636404,isbn:9783861953289","","1.0","c53dff96-dd5a-4653-9dea-a10385c545cd"
"36","Strauss, Neil","The Game: Penetrating the Secret Society of Pickup Artists","9780060554736","isbn:9780060554736,mobi-asin:e15f3790-d180-402c-a683-f10604a37b75,amazon:0061995320,google:p0c0nEx-8TcC","","1.0","bf5056ea-25c1-470a-b72d-7c4625a6c159"
"37","Horne, Patrick Van & Riley, Jason A.","Left of Bang: How the Marine Corps' Combat Hunter Program Can Save Your Life","9781936891306","mobi-asin:9504afa9-2233-4c3a-87f9-ef42ca403e1b,amazon:1936891301,isbn:9781936891306","","1.0","147d0bca-f562-4173-9b62-a15ebd590245"
"38","Strauss, Neil","Emergency: This Book Will Save Your Life","9780060898779","google:GBfZjLybb8AC,mobi-asin:0552298a-d8ea-4bf5-8ade-723829aa6a45,isbn:9780060898779,amazon:0060898771","","1.0","708aace0-58ca-4a80-894b-f710b7ffeeca"
"39","Burton, Richard Francis","First Footsteps in East Africa","9781428017306","barnesnoble:w/first-footsteps-in-east-africa-richard-burton/1100486406,mobi-asin:8e2d4451-3c65-4911-bc73-9e85a12dca84,isbn:9781428017306,goodreads:1227489","","1.0","482d145d-ed25-449e-83a3-04d7cc039a55"
"40","Scahill, Jeremy","Dirty Wars: The World Is a Battlefield","9781568587271","google:z9RErd_U_WEC,mobi-asin:4cc1b93b-4182-4e0c-b452-114767afbddd,isbn:9781568587271,amazon:B00B3M3TS4","","1.0","5b285f42-b2ba-4ae5-b460-c1d3972efa66"
"41","Sagan, Carl","Cosmos","9780345331359","amazon:B00BG6ZPQQ,mobi-asin:3a8f13bb-1204-4e5c-b66a-54d15d670a02,isbn:9780345331359,google:_-XhL6_xsVkC","","1.0","7cf6258f-b397-4e84-8b35-37ededd986b2"
"42","Orwell, George","Homage to Catalonia","9780436231391","mobi-asin:14b67fff-1b78-4213-b9fa-424cdd02b61a,amazon:B003K16PFU,isbn:9780436231391,google:acnyAAAAMAAJ,barnesnoble:w/homage-to-catalonia-george-orwell/1000202714,goodreads:42189452","","1.0","38863178-1921-4e78-a907-fd7f03a90300"
"44","Dulles, Allen","Craft of Intelligence: America's Legendary Spy Master on the Fundamentals of Intelligence Gathering for a Free World","9781592282975","isbn:9781592282975,mobi-asin:f015b9d8-e65e-40db-8df4-75e6484f374f,google:mH3qdHK6_EsC,amazon:1592282970","","1.0","c1b992b0-9c9f-4f37-9363-a59d0331cc4e"
"45","Camp, L. Sprague De","The Ancient Engineers","9780345482877","isbn:9780345482877,google:cauMt9vJLs0C,amazon:0345482875,mobi-asin:e9061f5f-ec37-4f14-a65e-602d8a566df8","","1.0","2c07d42f-6bfe-43d7-84b8-49d76c02f159"
"46","Maverick, James","The Sovereign Man: How to Become a Man of High Value, Confidence and Action","9781502886255","isbn:9781502886255,amazon:1502886251,google:uiQPogEACAAJ","","1.0","7a291389-6484-49f5-ac05-8de3df5cf815"
"47","Greenwald, Glenn","No Place to Hide: Edward Snowden, the NSA and the Surveillance State","9780241969007","google:vejCAgAAQBAJ,mobi-asin:d8a6713f-d0ec-4287-a6a7-c7ce35a73a24,isbn:9780241969007","","1.0","d164c64c-a21f-4922-8a4b-74b96e993ac8"
"48","Lucas, Michael W","FreeBSD Mastery: Storage Essentials","9780692343203","isbn:9780692343203,amazon:0692343202","IT Mastery","1.0","817e6828-134d-41b0-8ee2-a96e0493ab6d"
"49","Lucas, Michael W","Tarsnap Mastery: Online Backups for the Truly Paranoid","9780692400203","amazon:0692400206,isbn:9780692400203","IT Mastery","1.0","9d98d626-9247-4aa3-8169-b880edf75d1b"
"52","Banks, Iain M.","Excession","9780748110001","mobi-asin:B002TZ3DEO,isbn:9780748110001","Culture","5.0","52e6fe6a-7de0-4d0c-9655-1d36f0d0c09b"
"53","Banks, Iain M.","Inversions","9781416583783","isbn:9781416583783,goodreads:1716465,barnesnoble:w/inversions-iain-m-banks/1102041247,amazon:1416583785,mobi-asin:B002TXZR8G,google:cO00U2Llra8C","Culture","6.0","d7f79855-a644-4848-9a78-5ff6724cab5a"
"54","Banks, Iain M.","Look to Windward","9781451621686","google:HovpJmfv4wAC,barnesnoble:w/look-to-windward-iain-m-banks/1100367784,amazon:145162168X,isbn:9781451621686,mobi-asin:48b7e7d5-a8c6-4ede-880d-b3aa9053fad2,goodreads:12016","Culture","7.0","2f0e2e6c-f83c-43cf-b69f-0c891bc4a53c"
"55","Banks, Iain M.","Matter","9780316005364","amazon:0316005371,isbn:9780316005364,google:-pUgAQAAIAAJ","Culture","8.0","20648d6e-8253-476f-be82-620a74f03528"
"59","Yudkowsky, Eliezer","Rationality: From AI to Zombies","9781939311153","isbn:9781939311153","","1.0","9c37557f-ddd1-489a-b3c1-9b9ffea07682"
"60","Hoare, Mike","The Road to Kalamata: A Congo Mercenary's Personal Memoir","9781473817708","amazon:B00K1KJ2DK,isbn:9781473817708,barnesnoble:w/the-road-to-kalamata-mike-hoare/1112369118","","1.0","1cf9aa59-5a25-4238-90e7-4a56b9e3e488"
"61","Rhodes, Richard","The Making of the Atomic Bomb","9780140116670","isbn:9780140116670,amazon:B00BIFBHBW,google:0favPwAACAAJ,goodreads:16884","","1.0","68e5bd52-bf3a-4ee5-9e13-ad332d80ab28"
"62","Kilcullen, David","The Accidental Guerrilla: Fighting Small Wars in the Midst of a Big One","9780195368345","amazon:0199754098,google:eZ5UraZpJ5gC,isbn:9780195368345","","1.0","8c2a6f0a-2dc6-44eb-9be7-6e3d5cd4ac9e"
"67","Adams, Douglas","Mostly Harmless","9780345418777","barnesnoble:w/mostly-harmless-douglas-adams/1115312510,isbn:9780345418777,google:C-IV6MAH0FAC,amazon:0345418778,goodreads:6356002","Hitchhiker's Guide to the Galaxy","5.0","0ace8715-dcb3-4b04-815f-d058c6ad609e"
"68","Adams, Douglas","So Long, and Thanks for All the Fish","9780345479969","amazon:0345391837,isbn:9780345479969,barnesnoble:w/so-long-and-thanks-for-all-the-fish-douglas-adams/1101092316,goodreads:68355,google:0VGFPwAACAAJ","Hitchhiker's Guide to the Galaxy","4.0","05571840-398a-477c-943e-fc9356ac7857"
"69","Adams, Douglas","Life, the Universe and Everything","9781417618163","google:IiwFHAAACAAJ,barnesnoble:w/life-the-universe-and-everything-douglas-adams/1101102086,goodreads:6071219,amazon:0345391829,isbn:9781417618163","Hitchhiker's Guide to the Galaxy","3.0","b8d8804a-91d1-4819-b1ff-7c62f062c222"
"70","Colfer, Eoin","And Another Thing...","9781401310301","amazon:B005Q5W4T4,google:PayZAAAAQBAJ,barnesnoble:w/and-another-thing-eoin-colfer/1100317568,goodreads:7724125,isbn:9781401310301","Hitchhiker's Guide to the Galaxy","6.0","bb6505f9-7578-4013-97f1-d6ccf23052cb"
"71","Adams, Douglas","The Restaurant at the End of the Universe","9781439557563","amazon:0345391810,goodreads:5513954,google:5hagPwAACAAJ,isbn:9781439557563,barnesnoble:w/restaurant-at-the-end-of-the-universe-douglas-adams/1100618517","Hitchhiker's Guide to the Galaxy","2.0","b3cd19f2-71af-4e0a-99b0-c4f0645a385e"
"72","Adams, Douglas","The Hitchhiker's Guide to the Galaxy","9780330508117","isbn:9780330508117,goodreads:6315566,amazon:0345391802,google:HjtezgAACAAJ","Hitchhiker's Guide to the Galaxy","1.0","439b6ce2-c82f-4945-9e6a-8ec6d2946b91"
"73","Morgan, Richard K.","Altered Carbon","9781400101375","amazon:0345457684,google:22M-hFhzYREC,goodreads:1777170,isbn:9781400101375","Takeshi Kovacs Novels","1.0","cc885fc7-7800-4cca-aef3-a657e47e6f6d"
"74","Miéville, China","Perdido Street Station","9780345464521","isbn:9780345464521","","1.0","847aa10a-bd2c-4982-be86-ae7ce8dce03d"
"75","Lucas, Michael W","FreeBSD Mastery: ZFS","9780692452356","amazon:0692452354,isbn:9780692452356","","1.0","f04cb7f7-2f52-4a5d-a881-a2a654f403c7"
"76","Abbey, Edward","Desert Solitaire: A Season in the Wilderness","9780008283322","isbn:9780008283322,google:1VZBDwAAQBAJ,amazon:B005IHAINY,mobi-asin:B005IHAINY,barnesnoble:w/desert-solitaire-edward-abbey/1100014581","","5.0","96bb5ece-04e0-4a5d-9a38-8fb99611fa29"
"77","Doctorow, Cory","Homeland","9780765333704","barnesnoble:w/homeland-cory-doctorow/1111414289,goodreads:12917338,isbn:9780765333704,uri:/Homeland/en/epub/Cory_Doctorow_-_Homeland.epub,amazon:0765333708,google:rjYcDNVSbMsC","Little Brother","2.0","554ad635-7cc6-42e9-89a5-34fe990c2b07"
"78","Doctorow, Cory","Little Brother","9780765323118","google:r1zne2mZDW8C,goodreads:954674,isbn:9780765323118,amazon:B003X27L7M,urn:urn:uuid:9bde0872-1ad5-11dd-b5b9-0018f369440e,barnesnoble:w/little-brother-cory-doctorow/1100352914","Little Brother","1.0","658c1760-6dcb-4160-a42e-a33c73e75c64"
"79","Doctorow, Cory","Someone Comes to Town, Someone Leaves Town","9780765312808","google:tTamUiYMmlsC,amazon:0765312808,goodreads:29588,barnesnoble:w/someone-comes-to-town-someone-leaves-town-cory-doctorow/1100353613,isbn:9780765312808","","1.0","cf8ed270-b73e-4bf1-8e53-588ea9ac0059"
"81","Herbert, Frank","Chapterhouse: Dune","9780441102679","google:ryot4Ag2GGQC,amazon:B001O1O6IQ,goodreads:105,isbn:9780441102679","Dune","6.0","d27760c6-f6d2-4669-93ee-e1ba3f211f8a"
"82","Herbert, Frank","Heretics of Dune","9781440619649","goodreads:4516719,google:RHLQWg98NyoC,isbn:9781440619649,amazon:0441328008","Dune","5.0","7a032866-0872-4b62-9d66-ece6715fba7f"
"85","Herbert, Frank","God Emperor of Dune","9780441016310","google:Aow3MjNEvgkC,goodreads:2890074,isbn:9780441016310,amazon:0441294677","Dune","4.0","3432b085-ba57-4879-840f-639c94574477"
"86","Herbert, Frank","Children of Dune","9780441104024","goodreads:112,barnesnoble:w/children-of-dune-frank-herbert/1100361916,amazon:B0015DTW50,isbn:9780441104024,google:JPLMR68U78cC","Dune","3.0","1881a041-597c-404f-aa6f-3827f8193c27"
"87","Herbert, Frank","Dune Messiah","9780441015610","goodreads:1495434,isbn:9780441015610,google:RHIiCLH6n3gC,amazon:0441172695","Dune","2.0","08ea62c0-a7a9-46ae-b175-571663831b60"
"88","Stephenson, Neal","Snow Crash","9781596061576","barnesnoble:w/snow-crash-neal-stephenson/1100301882,isbn:9781596061576,goodreads:2029569,google:CN5sPwAACAAJ","","1.0","ae6a8634-7994-4943-ad70-969e70cf2f21"
"89","Stephenson, Neal","In the Beginning...was the Command Line","9780380815937","google:iL9wBRPaTDEC,amazon:B0011GA08E,isbn:9780380815937","","1.0","fba9880d-1cd9-4363-96e7-1060ef799abd"
"90","Stephenson, Neal","The Big U","9780380816033","isbn:9780380816033,amazon:B0011GA0AM,google:uMP0lwEACAAJ","","1.0","990b6ccd-823a-49d2-9568-2fd0fa37d417"
"91","Stephenson, Neal","The Diamond Age","9780553096095","barnesnoble:w/diamond-age-neal-stephenson/1100623049,isbn:9780553096095,google:7UpbAAAAMAAJ,goodreads:1056946,amazon:0553096095","","1.0","01c1e140-0726-4d26-b007-044e7272d776"
"92","Stephenson, Neal & Bear, Greg & Bear, Erik & Teppo, Mark & Debirmingham, E. D. & Brassey, Joseph & Moo, Cooper","The Mongoliad","9781612182360","google:b7ikpwAACAAJ,isbn:9781612182360,amazon:1455879819","","1.0","90013569-da30-4c8a-96e7-cd3de00e2659"
"93","Stephenson, Neal","Zodiac","9780871131812","amazon:0802143156,google:p9D9GgAACAAJ,isbn:9780871131812","","1.0","894f6410-3706-4de7-bace-bae9ea8ccd5b"
"94","Stephenson, Neal","System of the World","9780099463368","goodreads:920429,google:VkpSQz4sX4QC,barnesnoble:w/system-of-the-world-neal-stephenson/1101483582,isbn:9780099463368,amazon:0099463369","Baroque Cycle","3.0","5acca5b1-41b0-4cab-86b4-afac36d0c2c5"
"95","Stephenson, Neal","Cryptonomicon","9780060512804","goodreads:816,amazon:B000FC11A6,google:qYAmfUBPN-UC,barnesnoble:w/cryptonomicon-neal-stephenson/1100615818,isbn:9780060512804","","1.0","2e5f5044-f71e-4911-a085-675a25a4fdb2"
"96","Stephenson, Neal","The Confusion","9780060733353","goodreads:822,google:NJbllgEACAAJ,barnesnoble:w/confusion-neal-stephenson/1100615873,amazon:0060733357,isbn:9780060733353","Baroque Cycle","2.0","81f8219b-314e-4f6a-86b3-ade41c42ef9c"
"97","Stephenson, Neal","Reamde","9780061977961","goodreads:10552338,isbn:9780061977961,barnesnoble:w/reamde-neal-stephenson/1100608610,google:KPKMmwEACAAJ","","1.0","91cfdeee-927b-400a-a4dd-66eb13daebe5"
"98","Stephenson, Neal","Quicksilver","9780060833169","isbn:9780060833169,goodreads:45277,google:H80YT-afYeAC,amazon:B0072AX7OW,barnesnoble:w/quicksilver-neal-stephenson/1100856167","Baroque Cycle","1.0","26b7dc62-9efa-4897-addb-d4440a3390ec"
"99","Stephenson, Neal","Anathem","9780061474095","google:ZnsZfWOpdukC,isbn:9780061474095,amazon:006147410X","","1.0","967a74d8-76ae-42de-8c19-0d9086377093"
"100","Stephenson, Neal","Seveneves: A Novel","9780062190376","isbn:9780062190376,google:wlLZoAEACAAJ,mobi-asin:B00LZWV8JO,amazon:0062190377","","1.0","57949bfb-4747-46a7-a281-968f06a0bc33"
"101","Asimov, Isaac","Foundation","9780553293357","barnesnoble:w/foundation-isaac-asimov/1100465950,google:ZgjjE6FoVdMC,goodreads:7352028,amazon:B000FC1PWA,isbn:9780553293357","Foundation (Publication Order)","1.0","ed19a7f7-d7dd-4410-b77f-96c8df8e5f69"
"102","Asimov, Isaac","Foundation and Empire","9780553900354","isbn:9780553900354,goodreads:7477803,amazon:0553293370,google:BJcgLVibkrEC,barnesnoble:w/foundation-and-empire-isaac-asimov/1100302510","Foundation (Publication Order)","2.0","3718218d-4c91-4da5-8aee-c54d5f9d00cc"
"103","Asimov, Isaac","Second Foundation","9780553382594","isbn:9780553382594,amazon:B000FC1PWU,barnesnoble:w/second-foundation-isaac-asimov/1100302511,google:f5hLaocYRGgC,goodreads:8491174","Foundation (Publication Order)","3.0","3dfd7405-aa17-4c0f-afb8-529f5b9932a2"
"108","Morgan, Richard K.","Broken Angels","9780575075504","google:H_FyPwAACAAJ,amazon:0345457714,barnesnoble:w/broken-angels-richard-k-morgan/1100292841,isbn:9780575075504,goodreads:1117988","Takeshi Kovacs Novels","2.0","1f6cf358-fbf6-4859-9f25-e5108d422f1f"
"112","Crane, Richard & Crane, Nicholas","Journey to the Centre of the Earth","9780708919286","amazon:0593012917,isbn:9780708919286,google:AAGCAAAACAAJ","","1.0","738091e9-db4b-4290-8623-d9145cb0b10e"
"113","Hesse, Herman","Siddhartha","9781618951748","google:2sDrAgAAQBAJ,isbn:9781618951748","","1.0","daf2feb2-7238-4fc5-9d32-fbb94aae5441"
"114","Kerouac, Jack","The Dharma Bums","9780140042528","goodreads:43912052,amazon:0140042520,isbn:9780140042528,google:Es3fmFyTrIIC,barnesnoble:w/dharma-bums-jack-kerouac/1100315581","","1.0","78868349-0467-43e2-b23e-fa48f7e2b170"
"115","Greenberg, Andy","This Machine Kills Secrets","9781101593585","amazon:0142180491,isbn:9781101593585,google:vVU-l_DpZaIC","","1.0","6d1b6349-f341-4d18-a6a2-a5f56f76ecd3"
"121","Lawrence, T E","Seven Pillars of Wisdom: A Triumph","9780804170826","google:rUgkAAAAQBAJ,isbn:9780804170826","","1.0","f9bfcb90-d0c2-4ab0-bcea-fe759fb510a6"
"122","Shirley, John","A Song Called Youth","9781607013303","mobi-asin:B007PKQO62,amazon:1607013304,isbn:9781607013303","","1.0","753998b4-438f-415e-bd92-4399181ce4fa"
"123","Mazzetti, Mark","The Way of the Knife: The CIA, a Secret Army, and a War at the Ends of the Earth","9781594204807","barnesnoble:w/the-way-of-the-knife-mark-mazzetti/1114036105,google:gKOxNAEACAAJ,goodreads:16158491,isbn:9781594204807","","1.0","e9c0b5f7-4d71-4e0d-ab9d-b5de84331f90"
"125","Burton, Richard Francis","Personal Narrative of a Pilgrimage to Al Madinah and Meccah, Undertaken in 1853","","mobi-asin:6b3233e6-3a8e-4d6b-8d8d-c399dc3be186","","1.0","52f672a9-6110-4c8f-963e-e10aa5408fe9"
"126","Bacigalupi, Paolo","The Windup Girl","9781597801584","goodreads:6597651,barnesnoble:w/windup-girl-paolo-bacigalupi/1100225865,google:Z6swAQAAMAAJ,amazon:1597801585,isbn:9781597801584","","1.0","731bcf46-258d-417f-bb87-4b1547b0df65"
"127","Dick, Philip K.","Do Androids Dream of Electric Sheep?","9780194792226","isbn:9780194792226","","1.0","0355f165-6a23-48cd-9744-98d74521e431"
"128","Hemingway, Ernest","For Whom the Bell Tolls","9780684803357","isbn:9780684803357,google:-08IVs9NR14C,amazon:B000FC0OOU","","1.0","6388cc6b-e9b7-4935-bf0a-b33b6c7374dc"
"129","Hemingway, Ernest","The Sun Also Rises","9780743297332","amazon:0743297334,isbn:9780743297332,google:ghKyLjIU4-QC,goodreads:43496189,barnesnoble:w/sun-also-rises-ernest-hemingway/1100300822","","1.0","7f1f2e58-303c-4a6b-b574-afbbea75e72b"
"130","Hemingway, Ernest","The Old Man and the Sea","9786144134030","isbn:9786144134030,google:_NRmDwAAQBAJ,barnesnoble:w/old-man-and-the-sea-ernest-hemingway/1100300820,goodreads:6396997,amazon:B000FC0SH8","","1.0","e08c06df-c68d-44db-8031-e9754327d8d0"
"131","Heinlein, Robert A.","The Moon Is a Harsh Mistress","9780312863555","isbn:9780312863555,google:HtuRSsAb2fEC,amazon:0312863551","","1.0","b51181e5-dfbd-4437-967d-1e5a7ee3323a"
"132","Hemingway, Ernest","A Farewell to Arms","9780684801469","barnesnoble:w/farewell-to-arms-ernest-hemingway/1100300814,google:rhfAxQEACAAJ,isbn:9780684801469,goodreads:43497364,amazon:B007CKXYM2","","1.0","2d820b1f-1da7-4990-b5e3-6334c67de1a1"
"133","Haldeman, Joe","The Forever War","9780312536633","goodreads:5940939,isbn:9780312536633,barnesnoble:w/forever-war-joe-haldeman/1100649605,amazon:0312536631,google:l4lxLsH2n3YC","The Forever War","1.0","a4aaff1c-e1bb-40a0-acc8-ee454e22c68f"
"135","Thompson, Hunter S.","Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream","9780679785897","amazon:0679785892,google:epFkAAAAMAAJ,isbn:9780679785897","","1.0","e8bc3a8d-f249-410a-a045-2c1c0428027d"
"136","Larsson, Stieg","The Girl Who Played With Fire","9780307269980","google:RxqHmAEACAAJ,barnesnoble:w/girl-who-played-with-fire-stieg-larsson/1100160513,amazon:0307949508,goodreads:5060378,isbn:9780307269980","Millennium","2.0","0dfbfb80-efab-4b5c-a221-47b5ba34ca33"
"137","Larsson, Stieg","The Girl Who Kicked the Hornet's Nest","9780307593672","amazon:B0031YJFCQ,goodreads:7677839,barnesnoble:w/girl-who-kicked-the-hornets-nest-stieg-larsson/1100160449,google:AZ5J6B1-4BoC,isbn:9780307593672","Millennium","3.0","9dc3217b-f248-4aeb-86fe-11bde1313194"
